City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Smirnykh,49.75,142.8333,31.15,94,99,9.51,RU,light snow
80,Tual,-5.6667,132.75,84.76,67,100,4.32,ID,light rain
81,Kangundo,-1.2979,37.3471,75.54,45,74,4.21,KE,broken clouds
82,Tautira,-17.7333,-149.15,80.06,75,0,11.7,PF,light rain
83,Barrow,71.2906,-156.7887,1.42,85,0,12.66,US,clear sky
84,Staritsa,56.5075,34.9354,38.19,53,6,13.91,RU,clear sky
85,Bambous Virieux,-20.3428,57.7575,81.21,83,75,9.22,MU,light rain
86,Mataura,-46.1927,168.8643,50.49,86,100,2.19,NZ,overcast clouds
87,Lebu,-37.6167,-73.65,52.18,94,3,6.13,CL,clear sky
88,Kowary,50.7931,15.8356,45.86,52,100,6.42,PL,overcast clouds
89,Vao,-22.6667,167.4833,77.27,68,0,3.8,NC,clear sky
90,Lukulu,-14.3707,23.242,74.01,73,94,9.75,ZM,overcast clouds
91,Byron Bay,-28.65,153.6167,71.49,74,14,9.71,AU,few clouds
92,Sao Felix Do Xingu,-6.6447,-51.995,70.88,99,100,1.5,BR,light rain
93,Narsaq,60.9167,-46.05,32.22,84,99,1.32,GL,overcast clouds
94,Shelburne,44.0787,-80.2041,28.85,89,100,12.33,CA,overcast clouds
95,Grimshaw,56.1834,-117.6027,30.15,68,100,11.5,CA,overcast clouds
96,Suez,29.9737,32.5263,89.67,11,5,12.03,EG,clear sky
97,Petropavlovsk-Kamchatskiy,53.0452,158.6483,34.39,60,0,11.18,RU,clear sky
98,Amberley,39.2048,-84.428,39.31,68,0,3.44,US,clear sky
99,Luanda,-8.8368,13.2343,78.8,83,75,8.05,AO,broken clouds
100,Varnsdorf,50.9115,14.6182,43.57,67,100,6.87,CZ,overcast clouds
101,Qaqortoq,60.7167,-46.0333,26.33,89,100,1.63,GL,overcast clouds
102,Floro,61.5996,5.0328,48.96,71,100,11.5,NO,overcast clouds
103,Horconcitos,8.4682,-81.8007,66.22,90,100,4.68,PA,overcast clouds
104,Cherskiy,68.75,161.3,8.87,96,94,7.58,RU,overcast clouds
105,Gaozhou,21.9392,110.8461,75.06,71,100,7.49,CN,overcast clouds
106,Gualaceo,-2.9,-78.7833,58.66,94,89,1.39,EC,overcast clouds
107,Chengde,40.9725,117.9361,70.66,12,100,7.05,CN,overcast clouds
108,Constitucion,-35.3333,-72.4167,52.95,73,0,2.26,CL,clear sky
109,Kawai,34.2333,135.85,63.82,79,96,2.06,JP,overcast clouds
110,Nakamura,32.9833,132.9333,65.59,54,0,3.6,JP,clear sky
111,Mongagua,-24.0931,-46.6208,67.66,83,100,3.24,BR,overcast clouds
112,Bologoye,57.8799,34.1068,38.12,62,11,7.54,RU,few clouds
113,Wuwei,37.9281,102.6414,56.61,17,5,27.45,CN,clear sky
114,Ostrovnoy,68.0531,39.5131,34.88,99,100,25.75,RU,light snow
115,Liverpool,53.4106,-2.9779,58.28,75,0,7.0,GB,clear sky
116,Camana,-16.6228,-72.7111,66.65,82,100,8.7,PE,overcast clouds
117,Provideniya,64.3833,-173.3,30.72,96,100,13.31,RU,light snow
118,Bhadrachalam,17.6667,80.8833,106.9,24,74,2.95,IN,broken clouds
119,Anchorage,61.2181,-149.9003,39.52,68,100,4.61,US,overcast clouds
120,Iskateley,67.6803,53.1512,29.98,87,98,13.82,RU,overcast clouds
121,Mahebourg,-20.4081,57.7,82.26,83,75,9.22,MU,broken clouds
122,Ereymentau,51.6199,73.1033,67.42,37,63,11.1,KZ,broken clouds
123,Luderitz,-26.6481,15.1594,74.28,48,0,7.07,NA,clear sky
124,Lorengau,-2.0226,147.2712,81.93,80,19,6.87,PG,few clouds
125,Portland,45.5234,-122.6762,41.58,85,12,2.71,US,few clouds
126,Atuona,-9.8,-139.0333,79.3,79,90,18.21,PF,light rain
