City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Francisco Del Mar,MX,2022-04-13 09:38:58,16.2333,-94.65,80.94,78,68,8.19
68,Namibe,AO,2022-04-13 09:38:59,-15.1961,12.1522,81.54,68,1,8.03
69,Wonthaggi,AU,2022-04-13 09:38:59,-38.6044,145.5913,57.81,85,5,7.07
70,Albany,US,2022-04-13 09:37:48,42.6001,-73.9662,44.4,62,97,3.51
71,Khash,IR,2022-04-13 09:39:00,28.2211,61.2158,87.37,3,0,14.16
72,Husavik,IS,2022-04-13 09:39:00,66.0449,-17.3389,31.95,77,14,10.31
73,Yellowknife,CA,2022-04-13 09:39:01,62.456,-114.3525,-3.48,71,0,6.91
74,Tanout,NE,2022-04-13 09:39:01,14.9709,8.8879,98.28,17,5,14.23
75,Mount Gambier,AU,2022-04-13 09:39:02,-37.8333,140.7667,58.91,77,0,5.75
76,Mayumba,GA,2022-04-13 09:39:02,-3.432,10.6554,81.19,77,97,5.75
77,Rocha,UY,2022-04-13 09:39:03,-34.4833,-54.3333,54.23,68,76,5.7
78,Tebingtinggi,ID,2022-04-13 09:39:03,3.3285,99.1625,82.85,78,82,5.06
79,Bell Ville,AR,2022-04-13 09:39:04,-32.6259,-62.6887,46.99,49,76,4.25
80,Isangel,VU,2022-04-13 09:39:04,-19.55,169.2667,75.31,88,9,2.3
81,Lorengau,PG,2022-04-13 09:39:04,-2.0226,147.2712,81.55,79,23,6.62
82,San Patricio,US,2022-04-13 09:39:05,28.017,-97.5169,76.89,90,22,16.58
83,Ardakan,IR,2022-04-13 09:39:06,32.31,54.0175,89.2,9,37,4.88
84,Thompson,CA,2022-04-13 09:39:06,55.7435,-97.8558,21.36,86,100,14.97
85,Gushikawa,JP,2022-04-13 09:39:07,26.3544,127.8686,76.62,73,0,11.5
86,Kabompo,ZM,2022-04-13 09:34:15,-13.5927,24.2008,80.02,56,11,5.44
87,Hobart,AU,2022-04-13 09:38:31,-42.8794,147.3294,59.05,70,20,4.61
88,Pandharpur,IN,2022-04-13 09:39:07,17.6667,75.3333,99.95,20,100,2.84
89,Tiksi,RU,2022-04-13 09:39:08,71.6872,128.8694,-6.75,100,97,3.85
90,Victoria,HK,2022-04-13 09:37:54,22.2855,114.1577,82.96,70,12,7.0
91,Arraial Do Cabo,BR,2022-04-13 09:39:08,-22.9661,-42.0278,76.86,88,0,11.5
92,Flinders,AU,2022-04-13 09:40:09,-34.5833,150.8552,62.19,90,75,5.99
93,Ancud,CL,2022-04-13 09:40:10,-41.8697,-73.8203,46.06,91,77,3.67
94,Camargo,MX,2022-04-13 09:40:10,27.6667,-105.1667,57.49,35,18,8.52
95,Autun,FR,2022-04-13 09:40:10,46.95,4.3,65.08,44,74,2.89
96,Vaini,TO,2022-04-13 09:40:11,-21.2,-175.2,77.16,94,20,4.61
97,Constitucion,CL,2022-04-13 09:40:12,-35.3333,-72.4167,49.57,60,1,7.4
98,Muravlenko,RU,2022-04-13 09:40:12,63.7898,74.523,35.47,100,60,16.26
99,Ulverstone,AU,2022-04-13 09:40:13,-41.15,146.1667,59.18,72,13,1.01
100,Puerto Ayora,EC,2022-04-13 09:40:13,-0.7393,-90.3518,75.97,90,82,5.14
101,Atar,MR,2022-04-13 09:40:14,20.5169,-13.0499,75.25,33,37,9.22
102,Iqaluit,CA,2022-04-13 09:40:14,63.7506,-68.5145,-0.31,70,40,27.0
103,Verkhoyansk,RU,2022-04-13 09:40:15,67.5447,133.385,12.87,96,100,2.1
104,New Norfolk,AU,2022-04-13 09:40:15,-42.7826,147.0587,58.71,56,80,1.01
105,Wanning,CN,2022-04-13 09:40:16,18.8003,110.3967,78.48,83,49,6.8
106,San Jacinto,US,2022-04-13 09:40:16,33.7839,-116.9586,49.1,56,0,4.0
107,Thinadhoo,MV,2022-04-13 09:40:16,0.5333,72.9333,84.43,68,56,14.63
108,Vardo,NO,2022-04-13 09:40:17,70.3705,31.1107,30.18,80,40,12.66
109,Bone,DE,2022-04-13 09:40:17,51.9669,12.1396,66.25,46,93,9.06
110,Tura,IN,2022-04-13 09:40:18,25.5198,90.2201,82.92,69,97,4.36
111,Rosarito,MX,2022-04-13 09:40:18,32.3333,-117.0333,55.13,65,0,2.17
112,Straumen,NO,2022-04-13 09:40:18,63.8709,11.2999,41.0,72,61,0.6
113,Esperance,AU,2022-04-13 09:40:19,-33.8667,121.9,66.04,88,27,19.62
114,Jamestown,US,2022-04-13 09:39:02,42.097,-79.2353,53.24,59,100,8.05
115,Kaitangata,NZ,2022-04-13 09:40:20,-46.2817,169.8464,45.77,89,18,3.27
116,Kodinsk,RU,2022-04-13 09:40:20,58.6881,99.1844,38.59,65,57,7.23
117,Bathsheba,BB,2022-04-13 09:40:21,13.2167,-59.5167,77.61,78,75,19.57
118,Gat,IL,2022-04-13 09:40:21,31.61,34.7642,69.4,40,21,10.22
119,Gaya,IN,2022-04-13 09:40:21,24.7833,85.0,103.91,33,83,6.91
120,Chau Doc,VN,2022-04-13 09:40:22,10.7,105.1167,90.45,52,84,14.52
121,Portland,US,2022-04-13 09:40:02,45.5234,-122.6762,38.44,93,100,4.61
122,Inirida,CO,2022-04-13 09:40:23,3.8653,-67.9239,72.57,97,50,1.36
123,Ebenthal,AT,2022-04-13 09:40:23,46.6081,14.3642,65.7,51,0,2.3
124,Port Augusta,AU,2022-04-13 09:40:23,-32.5,137.7667,76.98,33,3,7.74
125,Sao Filipe,CV,2022-04-13 09:40:24,14.8961,-24.4956,70.84,73,58,9.17
126,Marawi,PH,2022-04-13 09:40:24,7.9986,124.2928,70.11,95,97,1.45
127,Komsomolskiy,UZ,2022-04-13 09:40:25,40.4272,71.7189,79.52,27,69,6.91
128,Hilo,US,2022-04-13 09:40:25,19.7297,-155.09,73.27,93,100,10.36
129,Hetauda,NP,2022-04-13 09:40:25,27.4284,85.0322,92.55,28,59,8.16
130,Bhawanipatna,IN,2022-04-13 09:40:26,19.9,83.1667,105.26,15,71,4.09
131,Narsaq,GL,2022-04-13 09:40:26,60.9167,-46.05,48.42,63,100,4.85
132,Jonesboro,US,2022-04-13 09:40:27,35.8423,-90.7043,67.69,93,100,15.01
133,Sola,VU,2022-04-13 09:40:27,-13.8833,167.55,81.27,83,75,0.0
134,Lucea,JM,2022-04-13 09:40:27,18.451,-78.1736,76.86,83,4,13.73
135,Havre-Saint-Pierre,CA,2022-04-13 09:40:28,50.2334,-63.5986,32.36,100,100,5.75
136,La Macarena,CO,2022-04-13 09:41:28,2.1837,-73.7849,70.39,99,99,1.57
137,Castro,BR,2022-04-13 09:41:29,-24.7911,-50.0119,63.09,99,94,1.92
138,Cuamba,MZ,2022-04-13 09:41:29,-14.8031,36.5372,79.74,71,70,5.55
139,Ixtapa,MX,2022-04-13 09:41:29,20.7,-105.2,68.68,84,25,1.72
140,Prachuap Khiri Khan,TH,2022-04-13 09:41:30,12.2167,99.75,88.47,47,82,4.52
141,Asau,RO,2022-04-13 09:41:30,46.4333,26.4,52.72,40,63,8.23
142,Garissa,KE,2022-04-13 09:41:30,-0.4536,39.6401,93.99,43,98,15.08
143,Kapaa,US,2022-04-13 09:41:31,22.0752,-159.319,75.18,95,40,10.36
144,Port Elizabeth,ZA,2022-04-13 09:41:31,-33.918,25.5701,77.29,53,0,3.44
145,Aberdeen,GB,2022-04-13 09:38:33,57.1437,-2.0981,47.19,93,75,11.5
146,Oksfjord,NO,2022-04-13 09:41:32,70.2396,22.3479,35.78,81,99,4.14
147,Los Lunas,US,2022-04-13 09:41:32,34.8062,-106.7334,40.66,67,0,16.49
148,Belaya Gora,RU,2022-04-13 09:41:32,68.5333,146.4167,-0.56,100,85,5.14
149,Port Alfred,ZA,2022-04-13 09:41:33,-33.5906,26.891,76.17,80,6,1.99
150,Bandarbeyla,SO,2022-04-13 09:41:33,9.4942,50.8122,87.89,58,2,11.99
151,Rabo De Peixe,PT,2022-04-13 09:41:33,37.8,-25.5833,60.31,88,75,13.8
152,Martapura,ID,2022-04-13 09:41:34,-3.4167,114.85,89.69,62,40,3.44
153,Alice Springs,AU,2022-04-13 09:41:35,-23.7,133.8833,87.35,19,7,8.05
154,Berlevag,NO,2022-04-13 09:41:35,70.8578,29.0864,32.0,74,75,11.5
155,Bengkulu,ID,2022-04-13 09:41:35,-3.8004,102.2655,83.66,69,69,4.9
156,Whitehorse,CA,2022-04-13 09:41:14,60.7161,-135.0538,11.17,52,0,3.44
157,Yeppoon,AU,2022-04-13 09:41:36,-23.1333,150.7333,76.78,71,1,14.43
158,Pio Xii,BR,2022-04-13 09:41:36,-3.8325,-45.1525,73.9,98,99,2.01
159,Fort Frances,CA,2022-04-13 09:41:37,48.5999,-93.4003,35.82,73,100,14.97
160,Bonavista,CA,2022-04-13 09:41:38,48.6499,-53.1147,31.44,92,100,24.36
161,Lagoa Vermelha,BR,2022-04-13 09:41:38,-28.2086,-51.5258,61.23,99,100,3.65
162,Lulea,SE,2022-04-13 09:41:39,65.5842,22.1547,37.47,70,0,6.91
163,Voznesenye,RU,2022-04-13 09:41:40,61.0106,35.4781,36.52,96,100,4.59
164,Praia Da Vitoria,PT,2022-04-13 09:41:40,38.7333,-27.0667,62.85,82,40,32.5
165,Zabaykalsk,RU,2022-04-13 09:41:41,49.6333,117.3167,42.49,19,100,11.25
166,Asopos,GR,2022-04-13 09:41:41,36.7333,22.8667,60.67,59,67,5.88
167,Geraldton,AU,2022-04-13 09:41:41,-28.7667,114.6,72.01,64,0,19.57
168,Kismayo,SO,2022-04-13 09:41:42,-0.3582,42.5454,86.65,65,100,9.75
169,Pisco,PE,2022-04-13 09:41:42,-13.7,-76.2167,61.02,82,8,2.3
170,Severo-Kurilsk,RU,2022-04-13 09:41:43,50.6789,156.125,29.62,88,100,10.83
171,Nanortalik,GL,2022-04-13 09:41:43,60.1432,-45.2371,34.18,77,98,4.18
172,Tuktoyaktuk,CA,2022-04-13 09:41:44,69.4541,-133.0374,15.98,94,100,14.92
173,Saint-Francois,FR,2022-04-13 09:41:44,46.4154,3.9054,59.68,67,0,3.44
174,Yenagoa,NG,2022-04-13 09:41:44,4.9247,6.2642,75.92,88,100,7.02
175,Kanigoro,ID,2022-04-13 09:41:45,-8.13,112.219,77.9,85,19,6.11
176,Bambous Virieux,MU,2022-04-13 09:41:46,-20.3428,57.7575,84.45,74,40,19.57
177,Tarazona,ES,2022-04-13 09:41:46,41.9,-1.7333,55.22,56,100,12.37
178,Provideniya,RU,2022-04-13 09:41:47,64.3833,-173.3,17.87,90,95,18.37
179,Ponta Do Sol,PT,2022-04-13 09:41:47,32.6667,-17.1,70.72,77,88,1.21
180,Romilly-Sur-Seine,FR,2022-04-13 09:41:48,48.5108,3.7263,61.18,74,100,7.27
181,Morwell,AU,2022-04-13 09:41:48,-38.2333,146.4,53.06,97,12,2.93
182,Hermanus,ZA,2022-04-13 09:41:49,-34.4187,19.2345,70.81,79,50,6.06
183,Urusha,RU,2022-04-13 09:41:49,54.05,122.9,32.79,40,89,5.35
184,Achern,DE,2022-04-13 09:42:49,48.6311,8.0761,72.55,50,0,3.44
185,Bilibino,RU,2022-04-13 09:42:50,68.0546,166.4372,12.34,86,100,3.89
186,Kodiak,US,2022-04-13 09:42:50,57.79,-152.4072,38.71,70,100,11.5
187,Hamilton,US,2022-04-13 09:38:08,39.1834,-84.5333,66.24,86,0,12.66
188,Hernani,ES,2022-04-13 09:42:51,43.2662,-1.9762,62.2,61,0,6.91
189,Ribeira Grande,PT,2022-04-13 09:39:33,38.5167,-28.7,63.0,82,75,26.46
190,Iranduba,BR,2022-04-13 09:42:52,-3.2847,-60.1861,75.49,98,100,2.28
191,Sorland,NO,2022-04-13 09:42:53,67.667,12.6934,35.06,84,98,6.8
