City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Pointe Michel,DM,77.56,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
160,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
161,Pilar,BR,75.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
163,Senanga,ZM,74.86,moderate rain,-16.1167,23.2667,Zango lodge
164,Alghero,IT,62.69,clear sky,40.5589,8.3181,Smy Carlos V Alghero
165,Adrar,MR,75.96,clear sky,20.5022,-10.0711,
168,San Patricio,US,75.18,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
179,Yulara,AU,89.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
186,Lima,PE,61.05,clear sky,-12.0432,-77.0282,Hotel Kamana
187,Akyab,MM,87.67,clear sky,20.15,92.9,Hotel Memory
190,Bredasdorp,ZA,63.73,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
194,Calvinia,ZA,62.42,clear sky,-31.4707,19.776,Die Lemoenhuis
195,Abha,SA,78.62,clear sky,18.2164,42.5053,Abha Hotel
196,Port Elizabeth,ZA,63.32,broken clouds,-33.918,25.5701,39 On Nile Guest House
197,Pundaguitan,PH,82.96,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
198,Puerto Del Rosario,ES,73.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
199,Erzin,TR,75.02,clear sky,36.9559,36.2,Artemis Otel
200,New Norfolk,AU,73.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
201,Cairns,AU,76.95,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
202,Mogadishu,SO,89.47,scattered clouds,2.0371,45.3438,Hotel Juba
203,Araouane,ML,74.43,clear sky,18.9048,-3.5265,
204,Port Keats,AU,86.56,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
